FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
625	623	APL	ALL	6250623	-50	M06250623	0	700	0	0	
625	624	APL	ALL	6250624	-50	M06250624	0	2799	0	0	
631	632	APL	ALL	6310632	-50	M06310632	0	700	0	0	
631	633	APL	ALL	6310633	50	M06310633	0	699	0	0	
631	634	APL	ALL	6310634	-50	M06310634	0	1400	0	0	
631	635	APL	ALL	6310635	50	M06310635	0	1399	0	0	
632	631	APL	ALL	6320631	50	M06320631	0	700	0	0	
632	633	APL	ALL	6320633	50	M06320633	0	1399	0	0	
632	634	APL	ALL	6320634	-50	M06320634	0	700	0	0	
632	635	APL	ALL	6320635	50	M06320635	0	2100	0	0	
633	631	APL	ALL	6330631	-50	M06330631	0	699	0	0	
633	632	APL	ALL	6330632	-50	M06330632	0	1399	0	0	
633	634	APL	ALL	6330634	-50	M06330634	0	2100	0	0	
633	635	APL	ALL	6330635	50	M06330635	0	700	0	0	
634	631	APL	ALL	6340631	50	M06340631	0	1400	0	0	
634	632	APL	ALL	6340632	50	M06340632	0	700	0	0	
634	633	APL	ALL	6340633	50	M06340633	0	2100	0	0	
634	635	APL	ALL	6340635	50	M06340635	0	2800	0	0	
635	631	APL	ALL	6350631	-50	M06350631	0	1399	0	0	
635	632	APL	ALL	6350632	-50	M06350632	0	2100	0	0	
635	633	APL	ALL	6350633	-50	M06350633	0	700	0	0	
635	634	APL	ALL	6350634	-50	M06350634	0	2800	0	0	
641	642	APL	ALL	6410642	-50	M06410642	0	700	0	0	
641	643	APL	ALL	6410643	50	M06410643	0	699	0	0	
641	644	APL	ALL	6410644	-50	M06410644	0	1400	0	0	
641	645	APL	ALL	6410645	50	M06410645	0	1399	0	0	
642	641	APL	ALL	6420641	50	M06420641	0	700	0	0	
642	643	APL	ALL	6420643	50	M06420643	0	1399	0	0	
642	644	APL	ALL	6420644	-50	M06420644	0	700	0	0	
642	645	APL	ALL	6420645	50	M06420645	0	2100	0	0	
643	641	APL	ALL	6430641	-50	M06430641	0	699	0	0	
643	642	APL	ALL	6430642	-50	M06430642	0	1399	0	0	
643	644	APL	ALL	6430644	-50	M06430644	0	2100	0	0	
643	645	APL	ALL	6430645	50	M06430645	0	700	0	0	
644	641	APL	ALL	6440641	50	M06440641	0	1400	0	0	
644	642	APL	ALL	6440642	50	M06440642	0	700	0	0	
644	643	APL	ALL	6440643	50	M06440643	0	2100	0	0	
644	645	APL	ALL	6440645	50	M06440645	0	2800	0	0	
645	641	APL	ALL	6450641	-50	M06450641	0	1399	0	0	
645	642	APL	ALL	6450642	-50	M06450642	0	2100	0	0	
645	643	APL	ALL	6450643	-50	M06450643	0	700	0	0	
645	644	APL	ALL	6450644	-50	M06450644	0	2800	0	0	
651	652	APL	ALL	6510652	-50	M06510652	0	700	0	0	
651	653	APL	ALL	6510653	50	M06510653	0	699	0	0	
651	654	APL	ALL	6510654	-50	M06510654	0	1400	0	0	
651	655	APL	ALL	6510655	50	M06510655	0	1399	0	0	
652	651	APL	ALL	6520651	50	M06520651	0	700	0	0	
652	653	APL	ALL	6520653	50	M06520653	0	1399	0	0	
652	654	APL	ALL	6520654	-50	M06520654	0	700	0	0	
652	655	APL	ALL	6520655	50	M06520655	0	2100	0	0	
653	651	APL	ALL	6530651	-50	M06530651	0	699	0	0	
653	652	APL	ALL	6530652	-50	M06530652	0	1399	0	0	
653	654	APL	ALL	6530654	-50	M06530654	0	2100	0	0	
