FromNodeNumber	ToNodeNumber	RoutingType	LoadType	MoveNumber	Speed	APlusMacro	EstimatedMoveTime	Distance	Cost	MaxLockTo	DetourAPlusMacro
783	785	APL	ALL	7830785	50	M07830785	0	700	0	0	
784	781	APL	ALL	7840781	50	M07840781	0	1400	0	0	
784	782	APL	ALL	7840782	50	M07840782	0	700	0	0	
784	783	APL	ALL	7840783	50	M07840783	0	2100	0	0	
784	785	APL	ALL	7840785	50	M07840785	0	2800	0	0	
785	781	APL	ALL	7850781	-50	M07850781	0	1400	0	0	
785	782	APL	ALL	7850782	-50	M07850782	0	2100	0	0	
785	783	APL	ALL	7850783	-50	M07850783	0	700	0	0	
785	784	APL	ALL	7850784	-50	M07850784	0	2800	0	0	
791	792	APL	ALL	7910792	-50	M07910792	0	700	0	0	
791	793	APL	ALL	7910793	50	M07910793	0	700	0	0	
791	794	APL	ALL	7910794	-50	M07910794	0	1400	0	0	
791	795	APL	ALL	7910795	50	M07910795	0	1400	0	0	
792	791	APL	ALL	7920791	50	M07920791	0	700	0	0	
792	793	APL	ALL	7920793	50	M07920793	0	1400	0	0	
792	794	APL	ALL	7920794	-50	M07920794	0	700	0	0	
792	795	APL	ALL	7920795	50	M07920795	0	2100	0	0	
793	791	APL	ALL	7930791	-50	M07930791	0	700	0	0	
793	792	APL	ALL	7930792	-50	M07930792	0	1400	0	0	
793	794	APL	ALL	7930794	-50	M07930794	0	2100	0	0	
793	795	APL	ALL	7930795	50	M07930795	0	700	0	0	
794	791	APL	ALL	7940791	50	M07940791	0	1400	0	0	
794	792	APL	ALL	7940792	50	M07940792	0	700	0	0	
794	793	APL	ALL	7940793	50	M07940793	0	2100	0	0	
794	795	APL	ALL	7940795	50	M07940795	0	2800	0	0	
795	791	APL	ALL	7950791	-50	M07950791	0	1400	0	0	
795	792	APL	ALL	7950792	-50	M07950792	0	2100	0	0	
795	793	APL	ALL	7950793	-50	M07950793	0	700	0	0	
795	794	APL	ALL	7950794	-50	M07950794	0	2800	0	0	
801	802	APL	ALL	8010802	-50	M08010802	0	700	0	0	
801	803	APL	ALL	8010803	50	M08010803	0	699	0	0	
801	804	APL	ALL	8010804	-50	M08010804	0	1400	0	0	
801	805	APL	ALL	8010805	50	M08010805	0	1399	0	0	
802	801	APL	ALL	8020801	50	M08020801	0	700	0	0	
802	803	APL	ALL	8020803	50	M08020803	0	1399	0	0	
802	804	APL	ALL	8020804	-50	M08020804	0	700	0	0	
802	805	APL	ALL	8020805	50	M08020805	0	2099	0	0	
803	801	APL	ALL	8030801	-50	M08030801	0	699	0	0	
803	802	APL	ALL	8030802	-50	M08030802	0	1399	0	0	
803	804	APL	ALL	8030804	-50	M08030804	0	2099	0	0	
803	805	APL	ALL	8030805	50	M08030805	0	700	0	0	
804	801	APL	ALL	8040801	50	M08040801	0	1400	0	0	
804	802	APL	ALL	8040802	50	M08040802	0	700	0	0	
804	803	APL	ALL	8040803	50	M08040803	0	2099	0	0	
804	805	APL	ALL	8040805	50	M08040805	0	2799	0	0	
805	801	APL	ALL	8050801	-50	M08050801	0	1399	0	0	
805	802	APL	ALL	8050802	-50	M08050802	0	2099	0	0	
805	803	APL	ALL	8050803	-50	M08050803	0	700	0	0	
805	804	APL	ALL	8050804	-50	M08050804	0	2799	0	0	
811	812	APL	ALL	8110812	-50	M08110812	0	700	0	0	
811	813	APL	ALL	8110813	50	M08110813	0	700	0	0	
811	814	APL	ALL	8110814	-50	M08110814	0	1399	0	0	
811	815	APL	ALL	8110815	50	M08110815	0	1400	0	0	
812	811	APL	ALL	8120811	50	M08120811	0	700	0	0	
812	813	APL	ALL	8120813	50	M08120813	0	1400	0	0	
812	814	APL	ALL	8120814	-50	M08120814	0	699	0	0	
812	815	APL	ALL	8120815	50	M08120815	0	2100	0	0	
813	811	APL	ALL	8130811	-50	M08130811	0	700	0	0	
813	812	APL	ALL	8130812	-50	M08130812	0	1400	0	0	
813	814	APL	ALL	8130814	-50	M08130814	0	2099	0	0	
813	815	APL	ALL	8130815	50	M08130815	0	700	0	0	
814	811	APL	ALL	8140811	50	M08140811	0	1399	0	0	
814	812	APL	ALL	8140812	50	M08140812	0	699	0	0	
814	813	APL	ALL	8140813	50	M08140813	0	2099	0	0	
814	815	APL	ALL	8140815	50	M08140815	0	2799	0	0	
815	811	APL	ALL	8150811	-50	M08150811	0	1400	0	0	
815	812	APL	ALL	8150812	-50	M08150812	0	2100	0	0	
815	813	APL	ALL	8150813	-50	M08150813	0	700	0	0	
815	814	APL	ALL	8150814	-50	M08150814	0	2799	0	0	
821	823	APL	ALL	8210823	50	M08210823	0	700	0	0	
821	824	APL	ALL	8210824	-50	M08210824	0	1399	0	0	
821	825	APL	ALL	8210825	50	M08210825	0	1400	0	0	
2536	2057	AGV	ALL	25362057	500	M25362057	0	6989	30000	0	
823	821	APL	ALL	8230821	-50	M08230821	0	700	0	0	
823	824	APL	ALL	8230824	-50	M08230824	0	2099	0	0	
823	825	APL	ALL	8230825	50	M08230825	0	700	0	0	
824	821	APL	ALL	8240821	50	M08240821	0	1399	0	0	
824	823	APL	ALL	8240823	50	M08240823	0	2099	0	0	
824	825	APL	ALL	8240825	50	M08240825	0	2799	0	0	
825	821	APL	ALL	8250821	-50	M08250821	0	1400	0	0	
825	823	APL	ALL	8250823	-50	M08250823	0	700	0	0	
825	824	APL	ALL	8250824	-50	M08250824	0	2799	0	0	
831	832	APL	ALL	8310832	-50	M08310832	0	699	0	0	
831	833	APL	ALL	8310833	50	M08310833	0	700	0	0	
831	834	APL	ALL	8310834	-50	M08310834	0	1399	0	0	
831	835	APL	ALL	8310835	50	M08310835	0	1400	0	0	
832	831	APL	ALL	8320831	50	M08320831	0	699	0	0	
832	833	APL	ALL	8320833	50	M08320833	0	1399	0	0	
832	834	APL	ALL	8320834	-50	M08320834	0	700	0	0	
832	835	APL	ALL	8320835	50	M08320835	0	2099	0	0	
833	831	APL	ALL	8330831	-50	M08330831	0	700	0	0	
833	832	APL	ALL	8330832	-50	M08330832	0	1399	0	0	
833	834	APL	ALL	8330834	-50	M08330834	0	2099	0	0	
833	835	APL	ALL	8330835	50	M08330835	0	700	0	0	
834	831	APL	ALL	8340831	50	M08340831	0	1399	0	0	
834	832	APL	ALL	8340832	50	M08340832	0	700	0	0	
834	833	APL	ALL	8340833	50	M08340833	0	2099	0	0	
834	835	APL	ALL	8340835	50	M08340835	0	2799	0	0	
835	831	APL	ALL	8350831	-50	M08350831	0	1400	0	0	
835	832	APL	ALL	8350832	-50	M08350832	0	2099	0	0	
835	833	APL	ALL	8350833	-50	M08350833	0	700	0	0	
835	834	APL	ALL	8350834	-50	M08350834	0	2799	0	0	
841	842	APL	ALL	8410842	-50	M08410842	0	700	0	0	
841	843	APL	ALL	8410843	50	M08410843	0	700	0	0	
841	844	APL	ALL	8410844	-50	M08410844	0	1400	0	0	
841	845	APL	ALL	8410845	50	M08410845	0	1399	0	0	
842	841	APL	ALL	8420841	50	M08420841	0	700	0	0	
842	843	APL	ALL	8420843	50	M08420843	0	1400	0	0	
842	844	APL	ALL	8420844	-50	M08420844	0	700	0	0	
842	845	APL	ALL	8420845	50	M08420845	0	2099	0	0	
843	841	APL	ALL	8430841	-50	M08430841	0	700	0	0	
843	842	APL	ALL	8430842	-50	M08430842	0	1400	0	0	
843	844	APL	ALL	8430844	-50	M08430844	0	2100	0	0	
843	845	APL	ALL	8430845	50	M08430845	0	699	0	0	
844	841	APL	ALL	8440841	50	M08440841	0	1400	0	0	
844	842	APL	ALL	8440842	50	M08440842	0	700	0	0	
844	843	APL	ALL	8440843	50	M08440843	0	2100	0	0	
844	845	APL	ALL	8440845	50	M08440845	0	2799	0	0	
845	841	APL	ALL	8450841	-50	M08450841	0	1399	0	0	
845	842	APL	ALL	8450842	-50	M08450842	0	2099	0	0	
845	843	APL	ALL	8450843	-50	M08450843	0	699	0	0	
845	844	APL	ALL	8450844	-50	M08450844	0	2799	0	0	
851	852	APL	ALL	8510852	-50	M08510852	0	700	0	0	
851	853	APL	ALL	8510853	50	M08510853	0	699	0	0	
851	854	APL	ALL	8510854	-50	M08510854	0	1400	0	0	
851	855	APL	ALL	8510855	50	M08510855	0	1399	0	0	
852	851	APL	ALL	8520851	50	M08520851	0	700	0	0	
852	853	APL	ALL	8520853	50	M08520853	0	1399	0	0	
852	854	APL	ALL	8520854	-50	M08520854	0	700	0	0	
852	855	APL	ALL	8520855	50	M08520855	0	2099	0	0	
853	851	APL	ALL	8530851	-50	M08530851	0	699	0	0	
853	852	APL	ALL	8530852	-50	M08530852	0	1399	0	0	
853	854	APL	ALL	8530854	-50	M08530854	0	2099	0	0	
853	855	APL	ALL	8530855	50	M08530855	0	700	0	0	
854	851	APL	ALL	8540851	50	M08540851	0	1400	0	0	
854	852	APL	ALL	8540852	50	M08540852	0	700	0	0	
854	853	APL	ALL	8540853	50	M08540853	0	2099	0	0	
854	855	APL	ALL	8540855	50	M08540855	0	2799	0	0	
855	851	APL	ALL	8550851	-50	M08550851	0	1399	0	0	
855	852	APL	ALL	8550852	-50	M08550852	0	2099	0	0	
855	853	APL	ALL	8550853	-50	M08550853	0	700	0	0	
855	854	APL	ALL	8550854	-50	M08550854	0	2799	0	0	
861	862	APL	ALL	8610862	-50	M08610862	0	700	0	0	
861	863	APL	ALL	8610863	50	M08610863	0	700	0	0	
861	864	APL	ALL	8610864	-50	M08610864	0	1399	0	0	
861	865	APL	ALL	8610865	50	M08610865	0	1400	0	0	
862	861	APL	ALL	8620861	50	M08620861	0	700	0	0	
862	863	APL	ALL	8620863	50	M08620863	0	1400	0	0	
862	864	APL	ALL	8620864	-50	M08620864	0	699	0	0	
862	865	APL	ALL	8620865	50	M08620865	0	2100	0	0	
863	861	APL	ALL	8630861	-50	M08630861	0	700	0	0	
863	862	APL	ALL	8630862	-50	M08630862	0	1400	0	0	
863	864	APL	ALL	8630864	-50	M08630864	0	2099	0	0	
863	865	APL	ALL	8630865	50	M08630865	0	700	0	0	
864	861	APL	ALL	8640861	50	M08640861	0	1399	0	0	
864	862	APL	ALL	8640862	50	M08640862	0	699	0	0	
864	863	APL	ALL	8640863	50	M08640863	0	2099	0	0	
864	865	APL	ALL	8640865	50	M08640865	0	2799	0	0	
865	861	APL	ALL	8650861	-50	M08650861	0	1400	0	0	
865	862	APL	ALL	8650862	-50	M08650862	0	2100	0	0	
865	863	APL	ALL	8650863	-50	M08650863	0	700	0	0	
865	864	APL	ALL	8650864	-50	M08650864	0	2799	0	0	
871	872	APL	ALL	8710872	-50	M08710872	0	700	0	0	
871	873	APL	ALL	8710873	50	M08710873	0	700	0	0	
871	874	APL	ALL	8710874	-50	M08710874	0	1399	0	0	
871	875	APL	ALL	8710875	50	M08710875	0	1400	0	0	
872	871	APL	ALL	8720871	50	M08720871	0	700	0	0	
872	873	APL	ALL	8720873	50	M08720873	0	1400	0	0	
872	874	APL	ALL	8720874	-50	M08720874	0	699	0	0	
872	875	APL	ALL	8720875	50	M08720875	0	2100	0	0	
873	871	APL	ALL	8730871	-50	M08730871	0	700	0	0	
873	872	APL	ALL	8730872	-50	M08730872	0	1400	0	0	
873	874	APL	ALL	8730874	-50	M08730874	0	2099	0	0	
873	875	APL	ALL	8730875	50	M08730875	0	700	0	0	
874	871	APL	ALL	8740871	50	M08740871	0	1399	0	0	
874	872	APL	ALL	8740872	50	M08740872	0	699	0	0	
874	873	APL	ALL	8740873	50	M08740873	0	2099	0	0	
874	875	APL	ALL	8740875	50	M08740875	0	2799	0	0	
875	871	APL	ALL	8750871	-50	M08750871	0	1400	0	0	
875	872	APL	ALL	8750872	-50	M08750872	0	2100	0	0	
875	873	APL	ALL	8750873	-50	M08750873	0	700	0	0	
875	874	APL	ALL	8750874	-50	M08750874	0	2799	0	0	
881	882	APL	ALL	8810882	-50	M08810882	0	700	0	0	
881	883	APL	ALL	8810883	50	M08810883	0	699	0	0	
881	884	APL	ALL	8810884	-50	M08810884	0	1400	0	0	
881	885	APL	ALL	8810885	50	M08810885	0	1399	0	0	
882	881	APL	ALL	8820881	50	M08820881	0	700	0	0	
882	883	APL	ALL	8820883	50	M08820883	0	1399	0	0	
882	884	APL	ALL	8820884	-50	M08820884	0	700	0	0	
882	885	APL	ALL	8820885	50	M08820885	0	2099	0	0	
883	881	APL	ALL	8830881	-50	M08830881	0	699	0	0	
883	882	APL	ALL	8830882	-50	M08830882	0	1399	0	0	
883	884	APL	ALL	8830884	-50	M08830884	0	2099	0	0	
883	885	APL	ALL	8830885	50	M08830885	0	700	0	0	
884	881	APL	ALL	8840881	50	M08840881	0	1400	0	0	
884	882	APL	ALL	8840882	50	M08840882	0	700	0	0	
884	883	APL	ALL	8840883	50	M08840883	0	2099	0	0	
884	885	APL	ALL	8840885	50	M08840885	0	2799	0	0	
885	881	APL	ALL	8850881	-50	M08850881	0	1399	0	0	
885	882	APL	ALL	8850882	-50	M08850882	0	2099	0	0	
885	883	APL	ALL	8850883	-50	M08850883	0	700	0	0	
885	884	APL	ALL	8850884	-50	M08850884	0	2799	0	0	
891	892	APL	ALL	8910892	-50	M08910892	0	700	0	0	
891	893	APL	ALL	8910893	50	M08910893	0	700	0	0	
891	894	APL	ALL	8910894	-50	M08910894	0	1400	0	0	
891	895	APL	ALL	8910895	50	M08910895	0	1400	0	0	
892	891	APL	ALL	8920891	50	M08920891	0	700	0	0	
892	893	APL	ALL	8920893	50	M08920893	0	1400	0	0	
892	894	APL	ALL	8920894	-50	M08920894	0	700	0	0	
892	895	APL	ALL	8920895	50	M08920895	0	2100	0	0	
893	891	APL	ALL	8930891	-50	M08930891	0	700	0	0	
893	892	APL	ALL	8930892	-50	M08930892	0	1400	0	0	
893	894	APL	ALL	8930894	-50	M08930894	0	2100	0	0	
893	895	APL	ALL	8930895	50	M08930895	0	700	0	0	
894	891	APL	ALL	8940891	50	M08940891	0	1400	0	0	
894	892	APL	ALL	8940892	50	M08940892	0	700	0	0	
894	893	APL	ALL	8940893	50	M08940893	0	2100	0	0	
894	895	APL	ALL	8940895	50	M08940895	0	2800	0	0	
895	891	APL	ALL	8950891	-50	M08950891	0	1400	0	0	
895	892	APL	ALL	8950892	-50	M08950892	0	2100	0	0	
895	893	APL	ALL	8950893	-50	M08950893	0	700	0	0	
895	894	APL	ALL	8950894	-50	M08950894	0	2800	0	0	
2002	9002	AGV	ALL	20029002	-500	M20029002	0	3076	0	0	
2010	9300	AGV	ALL	20109300	600	M20109300	0	3419	0	0	
4526	9232	AGV	ALL	45269232	20	M45269232	0	0	0	0	
2027	9112	AGV	ALL	20279112	500	M20279112	0	3405	0	0	
2038	5663	AGV	ALL	20385663	-15	M20385663	0	0	0	0	
2039	5673	AGV	ALL	20395673	-15	M20395673	0	0	0	0	
2040	5683	AGV	ALL	20405683	-15	M20405683	0	0	0	0	
2041	5693	AGV	ALL	20415693	-15	M20415693	0	0	0	0	
2042	5703	AGV	ALL	20425703	-15	M20425703	0	0	0	0	
2045	5713	AGV	ALL	20455713	-15	M20455713	0	0	0	0	
2046	5723	AGV	ALL	20465723	-15	M20465723	0	0	0	0	
2047	5733	AGV	ALL	20475733	-15	M20475733	0	0	0	0	
2048	5743	AGV	ALL	20485743	-15	M20485743	0	0	0	0	
2049	5753	AGV	ALL	20495753	-15	M20495753	0	0	0	0	
2051	5763	AGV	ALL	20515763	-15	M20515763	0	0	0	0	
2052	5773	AGV	ALL	20525773	-15	M20525773	0	0	0	0	
2510	9351	AGV	ALL	25109351	400	M25109351	0	3002	0	0	
2528	9341	AGV	ALL	25289341	500	M25289341	0	3172	0	0	
2769	4300	AGV	ALL	27694300	700	M27694300	0	4092	0	0	
9232	9230	AGV	ALL	92329230	600	M92329230	0	3306	0	0	
3250	3251	AGV	ALL	32503251	1000	M32503251	0	750	0	0	
3251	3252	AGV	ALL	32513252	1000	M32513252	0	1276	0	0	
3252	3253	AGV	ALL	32523253	1000	M32523253	0	3960	0	0	
3252	5782	AGV	ALL	32525782	-20	M32525782	0	0	0	0	
3253	3254	AGV	ALL	32533254	1000	M32533254	0	3994	0	0	
3253	5792	AGV	ALL	32535792	-20	M32535792	0	0	0	0	
3254	3255	AGV	ALL	32543255	1000	M32543255	0	4463	0	0	
3255	3256	AGV	ALL	32553256	1000	M32553256	0	3966	0	0	
3255	5802	AGV	ALL	32555802	-20	M32555802	0	0	0	0	
3256	3257	AGV	ALL	32563257	1000	M32563257	0	3955	0	0	
3256	5812	AGV	ALL	32565812	-20	M32565812	0	0	0	0	
3257	3258	AGV	ALL	32573258	1000	M32573258	0	3950	0	0	
3756	2751	AGV	ALL	37562751	700	M37562751	0	6342	0	0	
3258	3259	AGV	ALL	32583259	1000	M32583259	0	3956	0	0	
3258	5832	AGV	ALL	32585832	-20	M32585832	0	0	0	0	
3259	3260	AGV	ALL	32593260	1000	M32593260	0	3054	0	0	
3259	5842	AGV	ALL	32595842	-20	M32595842	0	0	0	0	
3260	3261	AGV	ALL	32603261	1000	M32603261	0	2867	0	0	
3261	3262	AGV	ALL	32613262	1000	M32613262	0	2536	0	0	
3262	3263	AGV	ALL	32623263	1000	M32623263	0	3953	0	0	
3262	5852	AGV	ALL	32625852	-20	M32625852	0	0	0	0	
3263	3264	AGV	ALL	32633264	1000	M32633264	0	3926	0	0	
3263	5862	AGV	ALL	32635862	-20	M32635862	0	0	0	0	
3264	3265	AGV	ALL	32643265	1000	M32643265	0	3948	0	0	
3264	5872	AGV	ALL	32645872	-20	M32645872	0	0	0	0	
3265	3266	AGV	ALL	32653266	1000	M32653266	0	3963	0	0	
3265	5882	AGV	ALL	32655882	-20	M32655882	0	0	0	0	
3266	3267	AGV	ALL	32663267	1000	M32663267	0	2244	0	0	
3266	5892	AGV	ALL	32665892	-20	M32665892	0	0	0	0	
3267	4508	AGV	ALL	32674508	600	M32674508	0	3709	0	0	
3502	9122	AGV	ALL	35029122	-500	M35029122	0	3721	0	0	
3573	9130	AGV	ALL	35739130	-500	M35739130	0	2236	0	0	
3527	9332	AGV	ALL	35279332	600	M35279332	0	3979	0	0	
4017	2056	AGV	ALL	40172056	600	M40172056	0	6067	0	0	
3757	9502	AGV	ALL	37579502	600	M37579502	0	4643	100000	0	
4003	3250	AGV	ALL	40033250	600	M40033250	0	3367	0	0	
4025	9200	AGV	ALL	40259200	600	M40259200	0	3573	0	0	
4035	7620	AGV	ALL	40357620	-500	M40357620	0	4200	0	0	
4036	9500	AGV	ALL	40369500	-500	M40369500	0	4318	0	0	
4300	3554	AGV	ALL	43003554	700	M43003554	0	3146	0	0	
4522	9210	AGV	ALL	45229210	600	M45229210	0	3677	0	0	
4017	4050	AGV	ALL	40174050	1000	M40174050	0	2099	0	0	
2014	5080	AGV	ALL	20145080	-500	M20145080	0	3734	0	0	
2016	5100	AGV	ALL	20165100	-500	M20165100	0	3920	0	0	
2020	5340	AGV	ALL	20205340	-500	M20205340	0	3773	0	0	
5662	5663	AGV	ALL	56625663	500	M56625663	0	1705	0	0	
5663	2038	AGV	ALL	56632038	15	M56632038	0	0	0	0	
5663	5662	AGV	ALL	56635662	-400	M56635662	0	1705	0	0	
5672	5673	AGV	ALL	56725673	500	M56725673	0	1784	0	0	
5673	2039	AGV	ALL	56732039	15	M56732039	0	0	0	0	
5673	5672	AGV	ALL	56735672	-500	M56735672	0	1784	0	0	
5682	5683	AGV	ALL	56825683	500	M56825683	0	1784	0	0	
5683	2040	AGV	ALL	56832040	15	M56832040	0	0	0	0	
5683	5682	AGV	ALL	56835682	-500	M56835682	0	1784	0	0	
5692	5693	AGV	ALL	56925693	1000	M56925693	0	1784	0	0	
5693	2041	AGV	ALL	56932041	15	M56932041	0	0	0	0	
5693	5692	AGV	ALL	56935692	-500	M56935692	0	1784	0	0	
5702	5703	AGV	ALL	57025703	1000	M57025703	0	1784	0	0	
5703	2042	AGV	ALL	57032042	15	M57032042	0	0	0	0	
5703	5702	AGV	ALL	57035702	-500	M57035702	0	1784	0	0	
5712	5713	AGV	ALL	57125713	1000	M57125713	0	1784	0	0	
5713	2045	AGV	ALL	57132045	20	M57132045	0	0	0	0	
5713	5712	AGV	ALL	57135712	-500	M57135712	0	1784	0	0	
5722	5723	AGV	ALL	57225723	1000	M57225723	0	1784	0	0	
5723	2046	AGV	ALL	57232046	15	M57232046	0	0	0	0	
5723	5722	AGV	ALL	57235722	-500	M57235722	0	1784	0	0	
5732	5733	AGV	ALL	57325733	1000	M57325733	0	1784	0	0	
5733	2047	AGV	ALL	57332047	20	M57332047	0	0	0	0	
5733	5732	AGV	ALL	57335732	-500	M57335732	0	1784	0	0	
5742	5743	AGV	ALL	57425743	1000	M57425743	0	1784	0	0	
5743	2048	AGV	ALL	57432048	15	M57432048	0	0	0	0	
5743	5742	AGV	ALL	57435742	-500	M57435742	0	1784	0	0	
5752	5753	AGV	ALL	57525753	1000	M57525753	0	1784	0	0	
5753	2049	AGV	ALL	57532049	15	M57532049	0	0	0	0	
5753	5752	AGV	ALL	57535752	-500	M57535752	0	1784	0	0	
5762	5763	AGV	ALL	57625763	1000	M57625763	0	1784	0	0	
5763	2051	AGV	ALL	57632051	15	M57632051	0	0	0	0	
5763	5762	AGV	ALL	57635762	-500	M57635762	0	1784	0	0	
5772	5773	AGV	ALL	57725773	1000	M57725773	0	1784	0	0	
5773	2052	AGV	ALL	57732052	15	M57732052	0	0	0	0	
5773	5772	AGV	ALL	57735772	-500	M57735772	0	1784	0	0	
5780	5782	AGV	ALL	57805782	1000	M57805782	0	1815	0	0	
5782	3252	AGV	ALL	57823252	20	M57823252	0	0	0	0	
5782	5780	AGV	ALL	57825780	-500	M57825780	0	1815	0	0	
5790	5792	AGV	ALL	57905792	1000	M57905792	0	1815	0	0	
5792	3253	AGV	ALL	57923253	20	M57923253	0	0	0	0	
5792	5790	AGV	ALL	57925790	-500	M57925790	0	1815	0	0	
5800	5802	AGV	ALL	58005802	1000	M58005802	0	1815	0	0	
5802	3255	AGV	ALL	58023255	20	M58023255	0	0	0	0	
5802	5800	AGV	ALL	58025800	-500	M58025800	0	1815	0	0	
5810	5812	AGV	ALL	58105812	1000	M58105812	0	1815	0	0	
5812	3256	AGV	ALL	58123256	20	M58123256	0	0	0	0	
5812	5810	AGV	ALL	58125810	-500	M58125810	0	1815	0	0	
2005	5020	AGV	ALL	20055020	-500	M20055020	0	3820	0	0	
5830	5832	AGV	ALL	58305832	1000	M58305832	0	1815	0	0	
5832	3258	AGV	ALL	58323258	20	M58323258	0	0	0	0	
5832	5830	AGV	ALL	58325830	-500	M58325830	0	1815	0	0	
5840	5842	AGV	ALL	58405842	1000	M58405842	0	1815	0	0	
5842	3259	AGV	ALL	58423259	20	M58423259	0	0	0	0	
5842	5840	AGV	ALL	58425840	-500	M58425840	0	1815	0	0	
5850	5852	AGV	ALL	58505852	1000	M58505852	0	1828	0	0	
5852	3262	AGV	ALL	58523262	20	M58523262	0	0	0	0	
5852	5850	AGV	ALL	58525850	-500	M58525850	0	1828	0	0	
5860	5862	AGV	ALL	58605862	1000	M58605862	0	1815	0	0	
5862	3263	AGV	ALL	58623263	20	M58623263	0	0	0	0	
5862	5860	AGV	ALL	58625860	-500	M58625860	0	1815	0	0	
5870	5872	AGV	ALL	58705872	1000	M58705872	0	1815	0	0	
5872	3264	AGV	ALL	58723264	20	M58723264	0	0	0	0	
5872	5870	AGV	ALL	58725870	-500	M58725870	0	1815	0	0	
5880	5882	AGV	ALL	58805882	1000	M58805882	0	1815	0	0	
5882	3265	AGV	ALL	58823265	20	M58823265	0	0	0	0	
5882	5880	AGV	ALL	58825880	-500	M58825880	0	1815	0	0	
5890	5892	AGV	ALL	58905892	1000	M58905892	0	1815	0	0	
5892	3266	AGV	ALL	58923266	20	M58923266	0	0	0	0	
5892	5890	AGV	ALL	58925890	-500	M58925890	0	1815	0	0	
2000	2002	AGV	ALL	20002002	1000	M20002002	0	2779	0	0	
2007	5040	AGV	ALL	20075040	-500	M20075040	0	4036	0	0	
7600	3754	AGV	ALL	76003754	600	M76003754	0	4036	0	0	
7600	4201	AGV	ALL	76004201	1000	M76004201	0	3503	0	0	
7600	7601	AGV	ALL	76007601	-500	M76007601	0	1600	0	0	
7601	7600	AGV	ALL	76017600	400	M76017600	0	1600	0	0	
7610	3756	AGV	ALL	76103756	600	M76103756	0	4121	0	0	
7610	4101	AGV	ALL	76104101	1000	M76104101	0	3503	0	0	
7610	7611	AGV	ALL	76107611	-500	M76107611	0	1600	0	0	
7611	7610	AGV	ALL	76117610	400	M76117610	0	1600	0	0	
7620	4035	AGV	ALL	76204035	1000	M76204035	0	4200	0	0	
7620	7621	AGV	ALL	76207621	-500	M76207621	0	1600	0	0	
7621	7620	AGV	ALL	76217620	400	M76217620	0	1600	0	0	
7630	2539	AGV	ALL	76302539	600	M76302539	0	4359	0	0	
7630	7631	AGV	ALL	76307631	-500	M76307631	0	1600	0	0	
7631	7630	AGV	ALL	76317630	1000	M76317630	0	1600	0	0	
7640	2548	AGV	ALL	76402548	600	M76402548	0	4181	0	0	
7640	7641	AGV	ALL	76407641	-500	M76407641	0	1599	0	0	
7641	7640	AGV	ALL	76417640	1000	M76417640	0	1599	0	0	
7650	2555	AGV	ALL	76502555	600	M76502555	0	4822	0	0	
7650	7651	AGV	ALL	76507651	-500	M76507651	0	1900	0	0	
7651	7650	AGV	ALL	76517650	1000	M76517650	0	1900	0	0	
9000	9001	AGV	ALL	90009001	-500	M90009001	0	1369	0	0	
9000	9002	AGV	ALL	90009002	1000	M90009002	0	1572	0	0	
9001	9000	AGV	ALL	90019000	1000	M90019000	0	1369	0	0	
9002	2002	AGV	ALL	90022002	600	M90022002	0	3076	0	0	
9002	9000	AGV	ALL	90029000	-500	M90029000	0	1572	0	0	
2008	2055	AGV	ALL	20082055	1000	M20082055	0	4500	0	0	
9012	9013	AGV	ALL	90129013	1000	M90129013	0	3295	0	0	
9013	9100	AGV	ALL	90139100	600	M90139100	0	3835	0	0	
2026	2056	AGV	ALL	20262056	1000	M20262056	0	2361	0	0	
2033	9320	AGV	ALL	20339320	600	M20339320	0	7863	0	0	
9015	4046	AGV	ALL	90154046	1000	M90154046	0	2700	0	0	
9020	9014	AGV	ALL	90209014	600	M90209014	0	4453	0	0	
9030	9020	AGV	ALL	90309020	1000	M90309020	0	4848	0	0	
9040	9030	AGV	ALL	90409030	1000	M90409030	0	3661	0	0	
9050	9040	AGV	ALL	90509040	1000	M90509040	0	3661	0	0	
9060	9050	AGV	ALL	90609050	1000	M90609050	0	3661	0	0	
9070	9060	AGV	ALL	90709060	1000	M90709060	0	3661	0	0	
9080	9070	AGV	ALL	90809070	1000	M90809070	0	3661	0	0	
9090	9080	AGV	ALL	90909080	1000	M90909080	0	3661	0	0	
9100	9090	AGV	ALL	91009090	1000	M91009090	0	2900	0	0	
9110	9111	AGV	ALL	91109111	500	M91109111	0	2764	0	0	
9111	3031	AGV	ALL	91113031	500	M91113031	0	3483	0	0	
9112	9110	AGV	ALL	91129110	400	M91129110	0	2185	0	0	
9120	9121	AGV	ALL	91209121	600	M91209121	0	1000	0	0	
9121	9120	AGV	ALL	91219120	-500	M91219120	0	1000	0	0	
9121	9122	AGV	ALL	91219122	600	M91219122	0	1132	0	0	
9122	3502	AGV	ALL	91223502	600	M91223502	0	3721	0	0	
9122	9121	AGV	ALL	91229121	-500	M91229121	0	1132	0	0	
9130	9131	AGV	ALL	91309131	-500	M91309131	0	1736	0	0	
2055	2009	AGV	ALL	20552009	1000	M20552009	0	2299	0	0	
9131	9130	AGV	ALL	91319130	1000	M91319130	0	1736	0	0	
2055	4533	AGV	ALL	20554533	600	M20554533	0	3387	0	0	
2056	2027	AGV	ALL	20562027	1000	M20562027	0	1432	0	0	
2508	2009	AGV	ALL	25082009	600	M25082009	0	7911	0	0	
